model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp,h
cam++_base,136,32,0.001,,4,,test,14.329873089790347,0.8108108108108109,0.4427480916030535,0.4393939393939394,0.44106463878327,74,73,572,58,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f5_ep41,5,41.0,dev,11.748726940155027,0.8211068211068211,0.4710743801652893,0.4318181818181818,0.45059288537549397,75,64,581,57,1200
cam++_base,136,32,0.001,,5,,test,11.418948638897676,0.8184049079754602,0.3252032520325203,0.3809523809523809,0.3508771929824561,65,83,627,40,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f6_ep8,6,8.0,dev,9.751317725731775,0.8269938650306748,0.359375,0.4380952380952381,0.3948497854077253,59,82,628,46,1200
cam++_base,136,32,0.001,,6,,test,9.097312622070312,0.8393977415307403,0.4406779661016949,0.456140350877193,0.4482758620689655,62,66,617,52,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f7_ep20,7,20.0,dev,16.602895231246947,0.8456712672521958,0.4470588235294118,0.3333333333333333,0.3819095477386935,76,47,636,38,1200
cam++_base,136,32,0.001,,7,,test,20.26457565307617,0.8088607594936709,0.4298245614035088,0.362962962962963,0.39357429718875503,86,65,590,49,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f8_ep11,8,11.0,dev,15.061446466445922,0.7974683544303798,0.4,0.3703703703703704,0.3846153846153846,85,75,580,50,1200
cam++_base,136,32,0.001,,8,,test,12.96587700843811,0.8015075376884422,0.3308823529411765,0.4017857142857143,0.3629032258064516,67,91,593,45,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f9_ep58,9,58,dev,8.518605778217315,0.7525125628140703,0.30414746543778803,0.5892857142857143,0.4012158054711246,46,151,533,66,1200
cam++_base,136,32,0.001,,9,,test,6.97934562426347,0.805115712545676,0.3806818181818182,0.5677966101694916,0.45578231292517013,51,109,594,67,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f10_ep11,10,11,dev,7.042036368296697,0.8148599269183922,0.39880952380952384,0.5677966101694916,0.46853146853146854,51,101,602,67,1200
cam++_base,136,32,0.001,,10,,test,7.538613845109939,0.826530612244898,0.3821656050955414,0.6060606060606061,0.46875000000000006,39,97,588,60,1200
